released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,bpm,danceability_%,valence_%,energy_%,acousticness_%,liveness_%
1,1,6290,0,295998468,113,73,72,32,77,15
11,7,6952,0,261116938,147,67,69,72,17,19
11,4,313,2,136689549,100,70,92,59,3,10
12,2,353,2,135611421,155,49,42,77,3,12
12,3,4094,0,356709897,107,54,41,39,51,11
12,2,880,0,110649992,112,80,15,54,9,38
10,31,573,0,301869854,166,70,57,57,9,11
1,1,3299,0,127027715,107,69,96,36,81,8
12,9,811,0,57144458,81,47,33,68,24,22
12,9,899,0,56870689,150,79,77,46,5,11
10,21,2415,0,323437194,110,66,19,32,69,12
10,21,2304,0,317726339,108,64,4,40,6,10
9,28,1003,0,116144341,130,89,48,74,30,7
10,21,2699,0,328207708,164,70,39,56,6,9
5,6,2482,20,608228647,114,80,42,68,2,66
9,20,2577,0,180577478,93,63,93,88,1,12
6,25,6821,34,809306935,90,87,51,69,36,9
12,8,714,0,49262961,128,45,35,68,78,39
5,6,3185,4,614555082,97,83,47,80,2,24
1,1,8612,0,245350949,152,69,94,71,79,7
1,1,4326,0,178660459,175,51,94,34,73,10
12,9,680,0,51641685,116,61,48,55,67,16
12,2,398,0,78139948,80,33,51,59,76,44
8,25,3328,13,322336177,93,63,34,86,26,21
8,13,7215,0,1007612429,122,70,42,54,30,37
1,7,4440,0,326792833,122,70,91,79,3,7
1,7,2881,6,391251368,135,70,60,58,4,16
1,5,2235,0,349585590,109,60,45,47,62,31
1,7,3711,0,339659802,93,65,82,74,27,32
8,20,12403,0,674772936,125,85,64,81,2,7
11,19,2785,0,432719968,206,58,83,45,36,11
6,24,14114,17,1309887447,130,76,44,77,1,13
1,7,1915,0,119238316,121,80,62,51,2,9
1,7,2297,0,116903579,123,74,35,73,0,21
6,23,4375,0,888046992,122,67,50,67,15,30
1,7,2800,0,200660871,143,53,50,79,0,8
8,6,2597,0,130655803,121,70,35,77,1,26
5,14,15563,6,1887039593,166,56,68,66,28,11
1,7,1420,0,88103848,135,41,27,64,36,60
1,7,1292,0,101114984,87,49,49,59,44,35
4,9,15867,0,1575467011,111,77,74,66,30,13
1,7,1178,0,91656026,110,75,85,84,10,31
6,11,6672,0,1042568408,130,66,19,61,30,9
9,18,12329,0,1735441776,179,61,76,51,30,38
7,26,5669,2,726837877,93,74,53,73,61,13
1,7,811,0,53933526,78,27,10,49,62,49
11,19,1756,0,267758538,180,65,37,58,2,4
1,7,1014,0,74601456,86,28,13,41,50,19
9,17,7963,0,920797189,88,74,55,85,1,5
11,5,4771,0,539595276,97,68,72,78,4,7
12,8,8559,0,1367810478,134,71,59,80,13,36
9,21,3221,2,578207856,116,75,36,76,12,10
10,5,3423,26,775542072,170,64,14,70,9,9
9,10,2566,13,863625566,140,83,40,55,16,14
11,4,9151,6,656013912,118,75,46,76,3,9
7,30,8476,0,1056760045,65,31,31,24,76,14
10,22,7495,17,611994237,120,56,16,67,0,11
5,21,5257,6,1230855859,176,29,12,33,68,12
9,10,1795,0,582981380,180,59,69,61,84,46
1,8,12685,3,1858144199,144,59,21,43,76,10
11,30,648,1,240684449,133,82,52,61,38,14
11,12,4635,5,583687007,93,63,21,52,28,9
1,7,1184,0,63803529,122,77,25,62,34,23
11,19,4431,0,466214729,88,53,55,73,9,3
1,5,759,3,236940480,170,70,61,44,40,37
1,7,733,0,41924466,94,46,55,50,71,10
11,18,2795,0,225259194,170,65,46,47,12,13
10,27,2780,2,393230256,90,79,79,70,57,66
12,1,1950,0,287201015,78,40,7,29,62,9
3,9,3947,12,599770206,94,57,36,58,5,15
10,30,2551,0,342779426,73,83,11,41,0,36
